edicao,hum_s,hum_s_e,hum_ns,hum_ns_e,mat_s,mat_s_e,mat_ns,mat_ns_e,nat_s,nat_s_e,nat_ns,nat_ns_e,hum_ns_hist,hum_ns_geo,hum_ns_filo,hum_ns_socio,nat_ns_quim,nat_ns_fis,nat_ns_bio
ENEM 2017,38,7,7,6,39,2,6,4,30,1,15,8,,,,,,,
ENEM 2010,33,6,12,9,42,4,3,1,34,5,11,10,,,,,,,
ENEM 2018,41,6,4,3,40,3,5,2,37,4,8,4,,,,,4,2,2
ENEM 2018 PPL,35,5,10,3,42,2,3,2,37,4,8,4,2,4,3,2,4,2,2
ENEM 2011,38,8,7,2,44,2,1,1,36,7,9,6,5,2,0,0,2,2,5
ENEM 2015,40,6,5,3,42,4,3,3,36,10,9,5,3,2,0,0,2,3,4
ENEM 2016/2,35,9,10,5,44,6,1,1,,,,,2,4,1,3,,,
ENEM 2017 LIBRAS,40,4,5,3,44,1,1,1,37,1,8,7,2,1,1,1,2,3,3
ENEM 2014,39,7,6,3,44,2,1,1,33,4,12,10,2,2,2,0,5,5,2
ENEM 2019,,,,,40,8,5,5,35,7,9,8,,,,,5,1,3
ENEM 2013,42,3,3,3,42,4,3,1,35,5,10,8,1,0,1,1,2,4,4
ENEM 2020 DIGITAL,40,2,5,5,45,2,0,0,33,4,11,7,1,1,3,0,3,5,3
ENEM 2020,37,5,8,8,45,3,0,0,40,2,5,3,1,4,2,1,1,3,1
ENEM 2017 PPL ,41,6,4,4,44,3,1,1,40,4,5,3,0,3,1,0,2,2,1
ENEM 2016,42,6,3,3,43,2,2,1,,,,,2,1,0,0,,,
ENEM 2020 PPL,41,3,4,4,43,3,2,2,40,2,5,5,1,0,1,2,2,2,1
ENEM 2019 PPL,40,3,5,4,,,,,,,,,0,1,3,1,,,
ENEM 2009 PPL,,,,,43,4,2,2,,,,,,,,,,,
ENEM 2010 PPL,,,,,43,4,2,1,,,,,,,,,,,
ENEM 2011 PPL,,,,,44,0,1,1,,,,,,,,,,,
ENEM 2015 PPL,,,,,43,3,2,2,,,,,,,,,,,
ENEM 2014 PPL,,,,,44,2,1,1,,,,,,,,,,,
ENEM 2016,,,,,44,2,1,1,,,,,,,,,,,
